dataset_name,subset_name
glue,mrpc
glue,qqp
paws,labeled_final
ai2_arc,ARC-Challenge
ai2_arc,ARC-Easy
kilt_tasks,hotpotqa
trivia_qa,unfiltered
web_questions,
wiki_qa,
adversarial_qa,dbidaf
adversarial_qa,dbert
adversarial_qa,droberta
duorc,SelfRC
duorc,ParaphraseRC
ropes,
squad_v2,
super_glue,record
quoref,
cos_e,v1.11
cosmos_qa,
dream,
openbookqa,main
qasc,
quail,
quarel,
quartz,
race,high
race,middle
sciq,
social_i_qa,
super_glue,boolq
super_glue,multirc
wiki_hop,original
wiqa,
piqa,
amazon_polarity,
app_reviews,
imdb,
rotten_tomatoes,
yelp_review_full,
common_gen,
wiki_bio,
cnn_dailymail,3.0.0
gigaword,
multi_news,
samsum,
xsum,
ag_news,
dbpedia_14,
trec,
GEM/wiki_lingua,ar
GEM/wiki_lingua,en
GEM/wiki_lingua,es
GEM/wiki_lingua,fr
GEM/wiki_lingua,hi
GEM/wiki_lingua,id
GEM/wiki_lingua,pt
GEM/wiki_lingua,vi
GEM/wiki_lingua,zh
Helsinki-NLP/tatoeba_mt,ara-eng
Helsinki-NLP/tatoeba_mt,ara-fra
Helsinki-NLP/tatoeba_mt,ara-spa
Helsinki-NLP/tatoeba_mt,ben-eng
Helsinki-NLP/tatoeba_mt,cat-eng
Helsinki-NLP/tatoeba_mt,cat-fra
Helsinki-NLP/tatoeba_mt,cat-por
Helsinki-NLP/tatoeba_mt,cat-spa
Helsinki-NLP/tatoeba_mt,eng-cmn_Hans
Helsinki-NLP/tatoeba_mt,eng-cmn_Hant
Helsinki-NLP/tatoeba_mt,eng-eus
Helsinki-NLP/tatoeba_mt,eng-fra
Helsinki-NLP/tatoeba_mt,eng-hin
Helsinki-NLP/tatoeba_mt,eng-ind
Helsinki-NLP/tatoeba_mt,eng-mal
Helsinki-NLP/tatoeba_mt,eng-mar
Helsinki-NLP/tatoeba_mt,eng-por
Helsinki-NLP/tatoeba_mt,eng-run
Helsinki-NLP/tatoeba_mt,eng-spa
Helsinki-NLP/tatoeba_mt,eng-swa
Helsinki-NLP/tatoeba_mt,eng-tam
Helsinki-NLP/tatoeba_mt,eng-tel
Helsinki-NLP/tatoeba_mt,eng-urd
Helsinki-NLP/tatoeba_mt,eng-vie
Helsinki-NLP/tatoeba_mt,eng-zho
Helsinki-NLP/tatoeba_mt,eus-spa
Helsinki-NLP/tatoeba_mt,fra-cmn_Hans
Helsinki-NLP/tatoeba_mt,fra-cmn_Hant
Helsinki-NLP/tatoeba_mt,fra-ind
Helsinki-NLP/tatoeba_mt,fra-por
Helsinki-NLP/tatoeba_mt,fra-run
Helsinki-NLP/tatoeba_mt,fra-spa
Helsinki-NLP/tatoeba_mt,fra-vie
Helsinki-NLP/tatoeba_mt,fra-zho
Helsinki-NLP/tatoeba_mt,hin-urd
Helsinki-NLP/tatoeba_mt,hin-zho
Helsinki-NLP/tatoeba_mt,por-cmn_Hans
Helsinki-NLP/tatoeba_mt,por-cmn_Hant
Helsinki-NLP/tatoeba_mt,por-spa
Helsinki-NLP/tatoeba_mt,por-zho
Helsinki-NLP/tatoeba_mt,run-spa
Helsinki-NLP/tatoeba_mt,spa-cmn_Hans
Helsinki-NLP/tatoeba_mt,spa-cmn_Hant
Helsinki-NLP/tatoeba_mt,spa-vie
Helsinki-NLP/tatoeba_mt,spa-zho
Helsinki-NLP/tatoeba_mt,vie-cmn_Hans
Helsinki-NLP/tatoeba_mt,vie-zho
xquad,xquad.ar
xquad,xquad.zh
xquad,xquad.vi
xquad,xquad.en
xquad,xquad.es
xquad,xquad.hi
mlqa,mlqa.ar.ar
mlqa,mlqa.vi.vi
mlqa,mlqa.zh.zh
mlqa,mlqa.es.es
mlqa,mlqa.en.en
mlqa,mlqa.hi.hi
mlqa,mlqa.ar.vi
mlqa,mlqa.ar.zh
mlqa,mlqa.ar.es
mlqa,mlqa.ar.en
mlqa,mlqa.ar.hi
mlqa,mlqa.vi.ar
mlqa,mlqa.vi.zh
mlqa,mlqa.vi.es
mlqa,mlqa.vi.en
mlqa,mlqa.vi.hi
mlqa,mlqa.zh.ar
mlqa,mlqa.zh.vi
mlqa,mlqa.zh.es
mlqa,mlqa.zh.en
mlqa,mlqa.zh.hi
mlqa,mlqa.es.ar
mlqa,mlqa.es.vi
mlqa,mlqa.es.zh
mlqa,mlqa.es.en
mlqa,mlqa.es.hi
mlqa,mlqa.en.ar
mlqa,mlqa.es.vi
mlqa,mlqa.es.zh
mlqa,mlqa.es.es
mlqa,mlqa.es.hi
mlqa,mlqa.hi.ar
mlqa,mlqa.hi.vi
mlqa,mlqa.hi.zh
mlqa,mlqa.hi.es
mlqa,mlqa.hi.en
paws-x,en
paws-x,es
paws-x,fr
paws-x,zh
khalidalt/tydiqa-primary,arabic
khalidalt/tydiqa-primary,bengali
khalidalt/tydiqa-primary,english
khalidalt/tydiqa-primary,indonesian
khalidalt/tydiqa-primary,swahili
khalidalt/tydiqa-primary,telugu
khalidalt/tydiqa-goldp,arabic
khalidalt/tydiqa-goldp,bengali
khalidalt/tydiqa-goldp,english
